ulasan,rating,kategori,nama_produk,ulasan_tokenize,ulasan_normalized,ulasan_stop_removed,ulasan_Stemmed,ulasan_clean,label
barang bagus kereen,4,pertukangan,Staples Gun Tacker Mollar 3 in 1 / Staple Jok Tembak Hekter 3 Way,"['barang', 'bagus', 'kereen']","['barang', 'bagus', 'keren']","['barang', 'bagus', 'keren']","['barang', 'bagus', 'keren']",barang bagus keren,2
pesanan cepat sampai ,5,pertukangan,Staples Gun Tacker Mollar 3 in 1 / Staple Jok Tembak Hekter 3 Way,"['pesanan', 'cepat', 'sampai']","['pesanan', 'cepat', 'sampai']","['pesanan', 'cepat']","['pesan', 'cepat']",pesan cepat,2
keren dan baik barangnya,4,pertukangan,Staples Gun Tacker Mollar 3 in 1 / Staple Jok Tembak Hekter 3 Way,"['keren', 'dan', 'baik', 'barangnya']","['keren', 'dan', 'baik', 'barangnya']","['keren', 'barangnya']","['keren', 'barang']",keren barang,2
barang sesuai pesanan kualitas sesuai harga paket kardus penyok  saat saya terima mungkin bisa pakai kardus yg lebih tebal,4,pertukangan,Staples Gun Tacker Mollar 3 in 1 / Staple Jok Tembak Hekter 3 Way,"['barang', 'sesuai', 'pesanan', 'kualitas', 'sesuai', 'harga', 'paket', 'kardus', 'penyok', 'saat', 'saya', 'terima', 'mungkin', 'bisa', 'pakai', 'kardus', 'yg', 'lebih', 'tebal']","['barang', 'sesuai', 'pesanan', 'kualitas', 'sesuai', 'harga', 'paket', 'kardus', 'penyok', 'saat', 'saya', 'terima', 'mungkin', 'bisa', 'pakai', 'kardus', 'yang', 'lebih', 'tebal']","['barang', 'sesuai', 'pesanan', 'kualitas', 'sesuai', 'harga', 'paket', 'kardus', 'penyok', 'terima', 'pakai', 'kardus', 'tebal']","['barang', 'sesuai', 'pesan', 'kualitas', 'sesuai', 'harga', 'paket', 'kardus', 'penyok', 'terima', 'pakai', 'kardus', 'tebal']",barang sesuai pesan kualitas sesuai harga paket kardus penyok terima pakai kardus tebal,2
barang sdh diterima amp barang okay,5,pertukangan,Staples Gun Tacker Mollar 3 in 1 / Staple Jok Tembak Hekter 3 Way,"['barang', 'sdh', 'diterima', 'amp', 'barang', 'okay']","['barang', 'sudah', 'diterima', 'amp', 'barang', 'baik']","['barang', 'diterima', 'amp', 'barang']","['barang', 'terima', 'amp', 'barang']",barang terima amp barang,2
respon seller oke barang jg oke pengiriman cepet bgt sehari smpe pdhl ga oke yg express makasih banyak yah,4,pertukangan,Staples Gun Tacker Mollar 3 in 1 / Staple Jok Tembak Hekter 3 Way,"['respon', 'seller', 'oke', 'barang', 'jg', 'oke', 'pengiriman', 'cepet', 'bgt', 'sehari', 'smpe', 'pdhl', 'ga', 'oke', 'yg', 'express', 'makasih', 'banyak', 'yah']","['respon', 'seller', 'oke', 'barang', 'juga', 'oke', 'pengiriman', 'cepat', 'banget', 'sehari', 'sampai', 'padahal', 'tidak', 'oke', 'yang', 'express', 'terima kasih', 'banyak', 'ya']","['respon', 'seller', 'oke', 'barang', 'oke', 'pengiriman', 'cepat', 'banget', 'sehari', 'oke', 'express', 'terima kasih', 'ya']","['respon', 'seller', 'oke', 'barang', 'oke', 'kirim', 'cepat', 'banget', 'hari', 'oke', 'express', 'terima kasih', 'ya']",respon seller oke barang oke kirim cepat banget hari oke express terima kasih ya,2
packing rapi recommended seller,4,pertukangan,Staples Gun Tacker Mollar 3 in 1 / Staple Jok Tembak Hekter 3 Way,"['packing', 'rapi', 'recommended', 'seller']","['packing', 'rapi', 'rekomendasi', 'seller']","['packing', 'rapi', 'rekomendasi', 'seller']","['packing', 'rapi', 'rekomendasi', 'seller']",packing rapi rekomendasi seller,2
ok,5,pertukangan,Staples Gun Tacker Mollar 3 in 1 / Staple Jok Tembak Hekter 3 Way,['ok'],['oke'],['oke'],['oke'],oke,2
barang sudah sampai sesuai dengan harapan mantab,5,pertukangan,Staples Gun Tacker Mollar 3 in 1 / Staple Jok Tembak Hekter 3 Way,"['barang', 'sudah', 'sampai', 'sesuai', 'dengan', 'harapan', 'mantab']","['barang', 'sudah', 'sampai', 'sesuai', 'dengan', 'harapan', 'mantap']","['barang', 'sesuai', 'harapan', 'mantap']","['barang', 'sesuai', 'harap', 'mantap']",barang sesuai harap mantap,2
mantap kualitas bos harga anak kost terimakasih,5,pertukangan,Staples Gun Tacker Mollar 3 in 1 / Staple Jok Tembak Hekter 3 Way,"['mantap', 'kualitas', 'bos', 'harga', 'anak', 'kost', 'terimakasih']","['mantap', 'kualitas', 'bos', 'harga', 'anak', 'indekos', 'terima kasih']","['mantap', 'kualitas', 'bos', 'harga', 'anak', 'indekos', 'terima kasih']","['mantap', 'kualitas', 'bos', 'harga', 'anak', 'indekos', 'terima kasih']",mantap kualitas bos harga anak indekos terima kasih,2
proses cepat barang sampai dengan selamat dan memuaskan ciamik,5,pertukangan,Staples Gun Tacker Mollar 3 in 1 / Staple Jok Tembak Hekter 3 Way,"['proses', 'cepat', 'barang', 'sampai', 'dengan', 'selamat', 'dan', 'memuaskan', 'ciamik']","['proses', 'cepat', 'barang', 'sampai', 'dengan', 'selamat', 'dan', 'memuaskan', 'indah']","['proses', 'cepat', 'barang', 'selamat', 'memuaskan', 'indah']","['proses', 'cepat', 'barang', 'selamat', 'muas', 'indah']",proses cepat barang selamat muas indah,2
siiiiiiiiiiiiiiiiiiiiiiiiiiiiipzz,5,pertukangan,Staples Gun Tacker Mollar 3 in 1 / Staple Jok Tembak Hekter 3 Way,['siiiiiiiiiiiiiiiiiiiiiiiiiiiiipzz'],['siiiiiiiiiiiiiiiiiiiiiiiiiiiiipzz'],['siiiiiiiiiiiiiiiiiiiiiiiiiiiiipzz'],['siiiiiiiiiiiiiiiiiiiiiiiiiiiiipzz'],siiiiiiiiiiiiiiiiiiiiiiiiiiiiipzz,2
barang dah nyampai dicoba bagus ok makasih gan,5,pertukangan,Staples Gun Tacker Mollar 3 in 1 / Staple Jok Tembak Hekter 3 Way,"['barang', 'dah', 'nyampai', 'dicoba', 'bagus', 'ok', 'makasih', 'gan']","['barang', 'sudah', 'nyampai', 'dicoba', 'bagus', 'oke', 'terima kasih', 'juragan']","['barang', 'nyampai', 'dicoba', 'bagus', 'oke', 'terima kasih', 'juragan']","['barang', 'nyampai', 'coba', 'bagus', 'oke', 'terima kasih', 'juragan']",barang nyampai coba bagus oke terima kasih juragan,2
pengiriman barangnya sangat cepat,5,pertukangan,Staples Gun Tacker Mollar 3 in 1 / Staple Jok Tembak Hekter 3 Way,"['pengiriman', 'barangnya', 'sangat', 'cepat']","['pengiriman', 'barangnya', 'sangat', 'cepat']","['pengiriman', 'barangnya', 'cepat']","['kirim', 'barang', 'cepat']",kirim barang cepat,2
barangnya sudah sampe sesuai dengan gambar dan quality sesuai dengan harganya haturnuhun,3,pertukangan,Staples Gun Tacker Mollar 3 in 1 / Staple Jok Tembak Hekter 3 Way,"['barangnya', 'sudah', 'sampe', 'sesuai', 'dengan', 'gambar', 'dan', 'quality', 'sesuai', 'dengan', 'harganya', 'haturnuhun']","['barangnya', 'sudah', 'sampai', 'sesuai', 'dengan', 'gambar', 'dan', 'quality', 'sesuai', 'dengan', 'harganya', 'haturnuhun']","['barangnya', 'sesuai', 'gambar', 'quality', 'sesuai', 'harganya', 'haturnuhun']","['barang', 'sesuai', 'gambar', 'quality', 'sesuai', 'harga', 'haturnuhun']",barang sesuai gambar quality sesuai harga haturnuhun,1
barang sampai sesuai prediksi pesanan alhamdulillah sesuai gambar good job,5,pertukangan,Staples Gun Tacker Mollar 3 in 1 / Staple Jok Tembak Hekter 3 Way,"['barang', 'sampai', 'sesuai', 'prediksi', 'pesanan', 'alhamdulillah', 'sesuai', 'gambar', 'good', 'job']","['barang', 'sampai', 'sesuai', 'prediksi', 'pesanan', 'alhamdulillah', 'sesuai', 'gambar', 'bagus', 'job']","['barang', 'sesuai', 'prediksi', 'pesanan', 'alhamdulillah', 'sesuai', 'gambar', 'bagus', 'job']","['barang', 'sesuai', 'prediksi', 'pesan', 'alhamdulillah', 'sesuai', 'gambar', 'bagus', 'job']",barang sesuai prediksi pesan alhamdulillah sesuai gambar bagus job,2
sukaaaaa sekali pas lagi kepengen ganti cover kursi dan dapat alat ini kerennnn deh recommended seller,5,pertukangan,Staples Gun Tacker Mollar 3 in 1 / Staple Jok Tembak Hekter 3 Way,"['sukaaaaa', 'sekali', 'pas', 'lagi', 'kepengen', 'ganti', 'cover', 'kursi', 'dan', 'dapat', 'alat', 'ini', 'kerennnn', 'deh', 'recommended', 'seller']","['sukaaaaa', 'sekali', 'saat', 'lagi', 'ingin', 'ganti', 'cover', 'kursi', 'dan', 'dapat', 'alat', 'ini', 'keren', 'deh', 'rekomendasi', 'seller']","['sukaaaaa', 'ganti', 'cover', 'kursi', 'alat', 'keren', 'deh', 'rekomendasi', 'seller']","['sukaaaaa', 'ganti', 'cover', 'kursi', 'alat', 'keren', 'deh', 'rekomendasi', 'seller']",sukaaaaa ganti cover kursi alat keren deh rekomendasi seller,2
barang udah sampe boss sesuai kualitas sama harga hehe,5,pertukangan,Staples Gun Tacker Mollar 3 in 1 / Staple Jok Tembak Hekter 3 Way,"['barang', 'udah', 'sampe', 'boss', 'sesuai', 'kualitas', 'sama', 'harga', 'hehe']","['barang', 'sudah', 'sampai', 'bos', 'sesuai', 'kualitas', 'sama', 'harga', 'hehe']","['barang', 'bos', 'sesuai', 'kualitas', 'harga', 'hehe']","['barang', 'bos', 'sesuai', 'kualitas', 'harga', 'hehe']",barang bos sesuai kualitas harga hehe,2
terima kasih brgnya sdh sampaicepet pelayanannya sore transfer malam dikirim esok sore dah nyampe brgnya,5,pertukangan,Staples Gun Tacker Mollar 3 in 1 / Staple Jok Tembak Hekter 3 Way,"['terima', 'kasih', 'brgnya', 'sdh', 'sampaicepet', 'pelayanannya', 'sore', 'transfer', 'malam', 'dikirim', 'esok', 'sore', 'dah', 'nyampe', 'brgnya']","['terima', 'kasih', 'brgnya', 'sudah', 'sampaicepet', 'pelayanannya', 'sore', 'transfer', 'malam', 'dikirim', 'esok', 'sore', 'sudah', 'sampai', 'brgnya']","['terima', 'kasih', 'brgnya', 'sampaicepet', 'pelayanannya', 'sore', 'transfer', 'malam', 'dikirim', 'esok', 'sore', 'brgnya']","['terima', 'kasih', 'brgnya', 'sampaicepet', 'layan', 'sore', 'transfer', 'malam', 'kirim', 'esok', 'sore', 'brgnya']",terima kasih brgnya sampaicepet layan sore transfer malam kirim esok sore brgnya,2
barang sudah sampai pesan pagi sore sudah datang barabg sesuai gambar mudah mudahan awet tanx ya,4,pertukangan,Staples Gun Tacker Mollar 3 in 1 / Staple Jok Tembak Hekter 3 Way,"['barang', 'sudah', 'sampai', 'pesan', 'pagi', 'sore', 'sudah', 'datang', 'barabg', 'sesuai', 'gambar', 'mudah', 'mudahan', 'awet', 'tanx', 'ya']","['barang', 'sudah', 'sampai', 'pesan', 'pagi', 'sore', 'sudah', 'datang', 'barabg', 'sesuai', 'gambar', 'mudah', 'mudahan', 'awet', 'tanx', 'ya']","['barang', 'pesan', 'pagi', 'sore', 'barabg', 'sesuai', 'gambar', 'mudah', 'mudahan', 'awet', 'tanx', 'ya']","['barang', 'pesan', 'pagi', 'sore', 'barabg', 'sesuai', 'gambar', 'mudah', 'mudah', 'awet', 'tanx', 'ya']",barang pesan pagi sore barabg sesuai gambar mudah mudah awet tanx ya,2
berfungsi dengan baik terima kasih,4,pertukangan,Staples Gun Tacker Mollar 3 in 1 / Staple Jok Tembak Hekter 3 Way,"['berfungsi', 'dengan', 'baik', 'terima', 'kasih']","['berfungsi', 'dengan', 'baik', 'terima', 'kasih']","['berfungsi', 'terima', 'kasih']","['fungsi', 'terima', 'kasih']",fungsi terima kasih,2
trim toped barang sudah sampai bagus oklah sip,5,pertukangan,Staples Gun Tacker Mollar 3 in 1 / Staple Jok Tembak Hekter 3 Way,"['trim', 'toped', 'barang', 'sudah', 'sampai', 'bagus', 'oklah', 'sip']","['trim', 'toped', 'barang', 'sudah', 'sampai', 'bagus', 'oklah', 'sip']","['trim', 'toped', 'barang', 'bagus', 'oklah', 'sip']","['trim', 'toped', 'barang', 'bagus', 'oklah', 'sip']",trim toped barang bagus oklah sip,2
barang standart biasa aja kurang good,2,pertukangan,Staples Gun Tacker Mollar 3 in 1 / Staple Jok Tembak Hekter 3 Way,"['barang', 'standart', 'biasa', 'aja', 'kurang', 'good']","['barang', 'standart', 'biasa', 'saja', 'kurang', 'bagus']","['barang', 'standart', 'bagus']","['barang', 'standart', 'bagus']",barang standart bagus,0
udah sampe dengan selamat thanks gan,5,pertukangan,Staples Gun Tacker Mollar 3 in 1 / Staple Jok Tembak Hekter 3 Way,"['udah', 'sampe', 'dengan', 'selamat', 'thanks', 'gan']","['sudah', 'sampai', 'dengan', 'selamat', 'terima kasih', 'juragan']","['selamat', 'terima kasih', 'juragan']","['selamat', 'terima kasih', 'juragan']",selamat terima kasih juragan,2
mantap lah barang sesuai harga ad rupa ada harga pngiriman cpt respon mantap,4,pertukangan,Staples Gun Tacker Mollar 3 in 1 / Staple Jok Tembak Hekter 3 Way,"['mantap', 'lah', 'barang', 'sesuai', 'harga', 'ad', 'rupa', 'ada', 'harga', 'pngiriman', 'cpt', 'respon', 'mantap']","['mantap', 'lho', 'barang', 'sesuai', 'harga', 'ada', 'rupa', 'ada', 'harga', 'pngiriman', 'cepat', 'respon', 'mantap']","['mantap', 'lho', 'barang', 'sesuai', 'harga', 'rupa', 'harga', 'pngiriman', 'cepat', 'respon', 'mantap']","['mantap', 'lho', 'barang', 'sesuai', 'harga', 'rupa', 'harga', 'pngiriman', 'cepat', 'respon', 'mantap']",mantap lho barang sesuai harga rupa harga pngiriman cepat respon mantap,2
respon cepat barang sesuai pesananthanks good,5,pertukangan,Staples Gun Tacker Mollar 3 in 1 / Staple Jok Tembak Hekter 3 Way,"['respon', 'cepat', 'barang', 'sesuai', 'pesananthanks', 'good']","['respon', 'cepat', 'barang', 'sesuai', 'pesananthanks', 'bagus']","['respon', 'cepat', 'barang', 'sesuai', 'pesananthanks', 'bagus']","['respon', 'cepat', 'barang', 'sesuai', 'pesananthanks', 'bagus']",respon cepat barang sesuai pesananthanks bagus,2
semuanya serba cepatrekomen banget tokonyapadahal ketentuan bayar lewat dr jam   dikirim besoktp ternyata langsung kirim via gojek hari ini jugatq yaterbantu banget belanja disinigk ada kerjaan yg tertunda jadinya ,5,pertukangan,Staples Gun Tacker Mollar 3 in 1 / Staple Jok Tembak Hekter 3 Way,"['semuanya', 'serba', 'cepatrekomen', 'banget', 'tokonyapadahal', 'ketentuan', 'bayar', 'lewat', 'dr', 'jam', 'dikirim', 'besoktp', 'ternyata', 'langsung', 'kirim', 'via', 'gojek', 'hari', 'ini', 'jugatq', 'yaterbantu', 'banget', 'belanja', 'disinigk', 'ada', 'kerjaan', 'yg', 'tertunda', 'jadinya']","['semuanya', 'serba', 'cepatrekomen', 'banget', 'tokonyapadahal', 'ketentuan', 'bayar', 'lewat', 'dari', 'jam', 'dikirim', 'besoktp', 'ternyata', 'segera', 'kirim', 'via', 'gojek', 'hari', 'ini', 'jugatq', 'yaterbantu', 'banget', 'belanja', 'disinigk', 'ada', 'pekerjaan', 'yang', 'tertunda', 'jadinya']","['serba', 'cepatrekomen', 'banget', 'tokonyapadahal', 'ketentuan', 'bayar', 'jam', 'dikirim', 'besoktp', 'kirim', 'via', 'gojek', 'jugatq', 'yaterbantu', 'banget', 'belanja', 'disinigk', 'pekerjaan', 'tertunda']","['serba', 'cepatrekomen', 'banget', 'tokonyapadahal', 'tentu', 'bayar', 'jam', 'kirim', 'besoktp', 'kirim', 'via', 'gojek', 'jugatq', 'yaterbantu', 'banget', 'belanja', 'disinigk', 'kerja', 'tunda']",serba cepatrekomen banget tokonyapadahal tentu bayar jam kirim besoktp kirim via gojek jugatq yaterbantu banget belanja disinigk kerja tunda,2
cakep dah barang sesuai pesanan tanks gan,5,pertukangan,Staples Gun Tacker Mollar 3 in 1 / Staple Jok Tembak Hekter 3 Way,"['cakep', 'dah', 'barang', 'sesuai', 'pesanan', 'tanks', 'gan']","['cakap', 'sudah', 'barang', 'sesuai', 'pesanan', 'tanks', 'juragan']","['cakap', 'barang', 'sesuai', 'pesanan', 'tanks', 'juragan']","['cakap', 'barang', 'sesuai', 'pesan', 'tanks', 'juragan']",cakap barang sesuai pesan tanks juragan,2
mantep ganthank ,5,pertukangan,Staples Gun Tacker Mollar 3 in 1 / Staple Jok Tembak Hekter 3 Way,"['mantep', 'ganthank']","['mantap', 'ganthank']","['mantap', 'ganthank']","['mantap', 'ganthank']",mantap ganthank,2
barang sudah diterima dengan baik dan sesuai dengan pesanan recommended seller thank,5,pertukangan,ISI STAPLES TEMBAK / STAPLE GUN MERK STAMVICK UKURAN 10mm,"['barang', 'sudah', 'diterima', 'dengan', 'baik', 'dan', 'sesuai', 'dengan', 'pesanan', 'recommended', 'seller', 'thank']","['barang', 'sudah', 'diterima', 'dengan', 'baik', 'dan', 'sesuai', 'dengan', 'pesanan', 'rekomendasi', 'seller', 'terima kasih']","['barang', 'diterima', 'sesuai', 'pesanan', 'rekomendasi', 'seller', 'terima kasih']","['barang', 'terima', 'sesuai', 'pesan', 'rekomendasi', 'seller', 'terima kasih']",barang terima sesuai pesan rekomendasi seller terima kasih,2
ok fast response brg sesuai thanks,5,pertukangan,ISI STAPLES TEMBAK / STAPLE GUN MERK STAMVICK UKURAN 10mm,"['ok', 'fast', 'response', 'brg', 'sesuai', 'thanks']","['oke', 'fast', 'response', 'barang', 'sesuai', 'terima kasih']","['oke', 'fast', 'response', 'barang', 'sesuai', 'terima kasih']","['oke', 'fast', 'response', 'barang', 'sesuai', 'terima kasih']",oke fast response barang sesuai terima kasih,2
okno problem boleh lah disesuai harganya tx,5,pertukangan,ISI STAPLES TEMBAK / STAPLE GUN MERK STAMVICK UKURAN 10mm,"['okno', 'problem', 'boleh', 'lah', 'disesuai', 'harganya', 'tx']","['okno', 'problem', 'boleh', 'lho', 'disesuai', 'harganya', 'tx']","['okno', 'problem', 'lho', 'disesuai', 'harganya', 'tx']","['okno', 'problem', 'lho', 'sesuai', 'harga', 'tx']",okno problem lho sesuai harga tx,2
barang nya bagus harga terjangkau fast responthx,5,pertukangan,ISI STAPLES TEMBAK / STAPLE GUN MERK STAMVICK UKURAN 10mm,"['barang', 'nya', 'bagus', 'harga', 'terjangkau', 'fast', 'responthx']","['barang', 'nya', 'bagus', 'harga', 'terjangkau', 'fast', 'responthx']","['barang', 'nya', 'bagus', 'harga', 'terjangkau', 'fast', 'responthx']","['barang', 'nya', 'bagus', 'harga', 'jangkau', 'fast', 'responthx']",barang nya bagus harga jangkau fast responthx,2
mantaaaaaaaabbbbbbbbbb,4,pertukangan,ISI STAPLES TEMBAK / STAPLE GUN MERK STAMVICK UKURAN 10mm,['mantaaaaaaaabbbbbbbbbb'],['mantaaaaaaaabbbbbbbbbb'],['mantaaaaaaaabbbbbbbbbb'],['mantaaaaaaaabbbbbbbbbb'],mantaaaaaaaabbbbbbbbbb,2
barang sudah sampai bagus sesuai gambar,5,pertukangan,isi staples tembak 8mm RAPIDE,"['barang', 'sudah', 'sampai', 'bagus', 'sesuai', 'gambar']","['barang', 'sudah', 'sampai', 'bagus', 'sesuai', 'gambar']","['barang', 'bagus', 'sesuai', 'gambar']","['barang', 'bagus', 'sesuai', 'gambar']",barang bagus sesuai gambar,2
produk mudah  baguspelayanan sangat fast responramah rekomen pokoknya,5,pertukangan,isi staples tembak 8mm RAPIDE,"['produk', 'mudah', 'baguspelayanan', 'sangat', 'fast', 'responramah', 'rekomen', 'pokoknya']","['produk', 'mudah', 'baguspelayanan', 'sangat', 'fast', 'responramah', 'rekomen', 'pokoknya']","['produk', 'mudah', 'baguspelayanan', 'fast', 'responramah', 'rekomen', 'pokoknya']","['produk', 'mudah', 'baguspelayanan', 'fast', 'responramah', 'rekomen', 'pokok']",produk mudah baguspelayanan fast responramah rekomen pokok,2
sesuai dengan pesanan bisa dipakai untuk gun tacker saya,5,pertukangan,isi staples tembak 8mm RAPIDE,"['sesuai', 'dengan', 'pesanan', 'bisa', 'dipakai', 'untuk', 'gun', 'tacker', 'saya']","['sesuai', 'dengan', 'pesanan', 'bisa', 'dipakai', 'untuk', 'gun', 'tacker', 'saya']","['sesuai', 'pesanan', 'dipakai', 'gun', 'tacker']","['sesuai', 'pesan', 'pakai', 'gun', 'tacker']",sesuai pesan pakai gun tacker,2
pesanan sampai tanpa masalah trims,5,pertukangan,STAPLE GUN SERBAGUNA MOLLAR STAPLES TEMBAK BONUS ISI HEKTER 3 IN 1,"['pesanan', 'sampai', 'tanpa', 'masalah', 'trims']","['pesanan', 'sampai', 'tanpa', 'masalah', 'terima kasih']","['pesanan', 'terima kasih']","['pesan', 'terima kasih']",pesan terima kasih,2
barang sudh tiba sesuai yg diharapkan,4,pertukangan,STAPLE GUN SERBAGUNA MOLLAR STAPLES TEMBAK BONUS ISI HEKTER 3 IN 1,"['barang', 'sudh', 'tiba', 'sesuai', 'yg', 'diharapkan']","['barang', 'sudah', 'tiba', 'sesuai', 'yang', 'diharapkan']","['barang', 'sesuai', 'diharapkan']","['barang', 'sesuai', 'harap']",barang sesuai harap,2
produk bagus sesuai dengan gambar pengiriman bagus puas,5,pertukangan,STAPLE GUN SERBAGUNA MOLLAR STAPLES TEMBAK BONUS ISI HEKTER 3 IN 1,"['produk', 'bagus', 'sesuai', 'dengan', 'gambar', 'pengiriman', 'bagus', 'puas']","['produk', 'bagus', 'sesuai', 'dengan', 'gambar', 'pengiriman', 'bagus', 'puas']","['produk', 'bagus', 'sesuai', 'gambar', 'pengiriman', 'bagus', 'puas']","['produk', 'bagus', 'sesuai', 'gambar', 'kirim', 'bagus', 'puas']",produk bagus sesuai gambar kirim bagus puas,2
barang sudah diterima kualitas lumayan bagus terima kasih,4,pertukangan,STAPLE GUN SERBAGUNA MOLLAR STAPLES TEMBAK BONUS ISI HEKTER 3 IN 1,"['barang', 'sudah', 'diterima', 'kualitas', 'lumayan', 'bagus', 'terima', 'kasih']","['barang', 'sudah', 'diterima', 'kualitas', 'lumayan', 'bagus', 'terima', 'kasih']","['barang', 'diterima', 'kualitas', 'lumayan', 'bagus', 'terima', 'kasih']","['barang', 'terima', 'kualitas', 'lumayan', 'bagus', 'terima', 'kasih']",barang terima kualitas lumayan bagus terima kasih,2
produk sesuai pesanan qualitasnya bagus packingnya rapih pakai buble wrap memuaskan,5,pertukangan,STAPLE GUN SERBAGUNA MOLLAR STAPLES TEMBAK BONUS ISI HEKTER 3 IN 1,"['produk', 'sesuai', 'pesanan', 'qualitasnya', 'bagus', 'packingnya', 'rapih', 'pakai', 'buble', 'wrap', 'memuaskan']","['produk', 'sesuai', 'pesanan', 'qualitasnya', 'bagus', 'packingnya', 'rapi', 'pakai', 'buble', 'wrap', 'memuaskan']","['produk', 'sesuai', 'pesanan', 'qualitasnya', 'bagus', 'packingnya', 'rapi', 'pakai', 'buble', 'wrap', 'memuaskan']","['produk', 'sesuai', 'pesan', 'qualitasnya', 'bagus', 'packingnya', 'rapi', 'pakai', 'buble', 'wrap', 'muas']",produk sesuai pesan qualitasnya bagus packingnya rapi pakai buble wrap muas,2
produk luar joss pengiriman luar biasa cepat sampainya ,5,pertukangan,STAPLE GUN SERBAGUNA MOLLAR STAPLES TEMBAK BONUS ISI HEKTER 3 IN 1,"['produk', 'luar', 'joss', 'pengiriman', 'luar', 'biasa', 'cepat', 'sampainya']","['produk', 'luar', 'joss', 'pengiriman', 'luar', 'biasa', 'cepat', 'sampainya']","['produk', 'joss', 'pengiriman', 'cepat', 'sampainya']","['produk', 'joss', 'kirim', 'cepat', 'sampai']",produk joss kirim cepat sampai,2
packing rapi dan pengiriman cepat terimakasih,5,pertukangan,STAPLE GUN SERBAGUNA MOLLAR STAPLES TEMBAK BONUS ISI HEKTER 3 IN 1,"['packing', 'rapi', 'dan', 'pengiriman', 'cepat', 'terimakasih']","['packing', 'rapi', 'dan', 'pengiriman', 'cepat', 'terima kasih']","['packing', 'rapi', 'pengiriman', 'cepat', 'terima kasih']","['packing', 'rapi', 'kirim', 'cepat', 'terima kasih']",packing rapi kirim cepat terima kasih,2
kualitas barang sesuai dekripsi,4,pertukangan,STAPLE GUN SERBAGUNA MOLLAR STAPLES TEMBAK BONUS ISI HEKTER 3 IN 1,"['kualitas', 'barang', 'sesuai', 'dekripsi']","['kualitas', 'barang', 'sesuai', 'dekripsi']","['kualitas', 'barang', 'sesuai', 'dekripsi']","['kualitas', 'barang', 'sesuai', 'dekripsi']",kualitas barang sesuai dekripsi,2
mantap ,5,pertukangan,STAPLE GUN SERBAGUNA MOLLAR STAPLES TEMBAK BONUS ISI HEKTER 3 IN 1,['mantap'],['mantap'],['mantap'],['mantap'],mantap,2
barangnya rusakkecewa berat,1,pertukangan,STAPLE GUN SERBAGUNA MOLLAR STAPLES TEMBAK BONUS ISI HEKTER 3 IN 1,"['barangnya', 'rusakkecewa', 'berat']","['barangnya', 'rusakkecewa', 'berat']","['barangnya', 'rusakkecewa', 'berat']","['barang', 'rusakkecewa', 'berat']",barang rusakkecewa berat,0
barang bagus sesuai deskripsithanks gan,5,pertukangan,STAPLE GUN SERBAGUNA MOLLAR STAPLES TEMBAK BONUS ISI HEKTER 3 IN 1,"['barang', 'bagus', 'sesuai', 'deskripsithanks', 'gan']","['barang', 'bagus', 'sesuai', 'deskripsithanks', 'juragan']","['barang', 'bagus', 'sesuai', 'deskripsithanks', 'juragan']","['barang', 'bagus', 'sesuai', 'deskripsithanks', 'juragan']",barang bagus sesuai deskripsithanks juragan,2
bosku pakitan telah mendarat dengan selamatini yg saya maurapi bersih kuat dan tahan bantingbiarkan saja bintang yg bicaraterimakasih boskutukar saadanyasemoga berkahamin,5,pertukangan,STAPLE GUN SERBAGUNA MOLLAR STAPLES TEMBAK BONUS ISI HEKTER 3 IN 1,"['bosku', 'pakitan', 'telah', 'mendarat', 'dengan', 'selamatini', 'yg', 'saya', 'maurapi', 'bersih', 'kuat', 'dan', 'tahan', 'bantingbiarkan', 'saja', 'bintang', 'yg', 'bicaraterimakasih', 'boskutukar', 'saadanyasemoga', 'berkahamin']","['bosku', 'pakitan', 'telah', 'mendarat', 'dengan', 'selamatini', 'yang', 'saya', 'maurapi', 'bersih', 'kuat', 'dan', 'tahan', 'bantingbiarkan', 'saja', 'bintang', 'yang', 'bicaraterimakasih', 'boskutukar', 'saadanyasemoga', 'berkahamin']","['bosku', 'pakitan', 'mendarat', 'selamatini', 'maurapi', 'bersih', 'kuat', 'tahan', 'bantingbiarkan', 'bintang', 'bicaraterimakasih', 'boskutukar', 'saadanyasemoga', 'berkahamin']","['bos', 'pakitan', 'darat', 'selamatini', 'maurapi', 'bersih', 'kuat', 'tahan', 'bantingbiarkan', 'bintang', 'bicaraterimakasih', 'boskutukar', 'saadanyasemoga', 'berkahamin']",bos pakitan darat selamatini maurapi bersih kuat tahan bantingbiarkan bintang bicaraterimakasih boskutukar saadanyasemoga berkahamin,2
sudah dicobabarang berqualitasrespon penjual cepat,5,pertukangan,STAPLE GUN SERBAGUNA MOLLAR STAPLES TEMBAK BONUS ISI HEKTER 3 IN 1,"['sudah', 'dicobabarang', 'berqualitasrespon', 'penjual', 'cepat']","['sudah', 'dicobabarang', 'berqualitasrespon', 'penjual', 'cepat']","['dicobabarang', 'berqualitasrespon', 'penjual', 'cepat']","['dicobabarang', 'berqualitasrespon', 'jual', 'cepat']",dicobabarang berqualitasrespon jual cepat,2
